word,rootsword1,rootsword2
unrelentless,unrelenting,relentless
propicillin,propyl,penicillin
niggerati,nigger,literati
Islamocracy,Islam,democracy
proselytute,proselytize,prostitute
aspulvinone,Aspergillus,pulvinone
mediot,media,idiot
annepressin,annelid,vasopressin
exertainment,exercise,entertainment
xenavidin,Xenopus,avidin
webliography,Web,bibliography
noseshot,nose,earshot
walkshed,walk,watershed
antimicrobicide,antimicrobial,microbicide
wedmin,wedding,admin
Japanolatry,Japan,idolatry
iceteroid,ice,asteroid
dibling,donor,sibling
weisure,work,leisure
beasterly,beastly,easterly
pettipants,petticoat,pants
buckyball,buckminsterfullerene,ball
voluntell,volunteer,tell
chaosphere,chaos,sphere
etiopathology,etiology,pathology
wikinomics,economics
cinnamaldehyde,cinnamon,aldehyde
veganniversary,vegan,anniversary
clickhaler,click,inhaler
interfaithless,interfaith,faithless
socdem,social,democracy
alundum,alumina,corundum
horrorzine,horror,magazine
autocutie,autocue,cutie
spleef,Spleef,spliff
sightjogging,sightseeing,jogging
cashspiel,cash,bonspiel
combolin,combination,mandolin
zircophyllite,zirconium,astrophyllite
Brexodus,Brexit,exodus
dunch,dunchen,diunga
phonotax,phonotactics,syntax
gothabilly,goth,rockabilly
sextual,sext,sexual
sexploit,sex,exploit
Sonbie,Sony,zombie
trancecore,trance,hardcore
potscaping,pot,landscaping
panstick,pancake,stick
huppie,Hispanic,yuppie
solvmanifold,solvable,manifold
Moffic,Moffatt,fanfic
Socceroo,soccer,kangaroo
misteress,mister,mistress
zoochosis,zoo,psychosis
prettiful,pretty,beautiful
punkabilly,punk,rockabilly
flaperon,flap,aileron
transtrender,transgender,trender
superfecta,super,perfecta
TimberBiel,Timberlake,Biel
nulliverse,null,verse
racenicity,race,ethnicity
crapplication,crap,application
splurchase,splurge,purchase
shotcrete,shot,concrete
slimsy,slim,flimsy
treechanger,tree,seachanger
agrimation,agricultural,automation
secalotricum,secale,triticum
privish,private,publish
Kenfucky,Kentucky,fuck
girlcation,girl,vacation
Brabanditti,Brabant,banditti
glutaric,glutamic,tartaric
fursecution,fur,persecution
Bidencare,Biden,healthcare
phenose,phenyl,dextrose
carnivoracity,carnivore,voracity
coalplex,coal,complex
dependapotamus,dependent,hippopotamus
javazon,javelin,Amazon
treknobabble,Trek,technobabble
inclinator,incline,elevator
retinex,retina,cortex
schlockbuster,schlock,blockbuster
phonemark,phone,earmark
ripamatic,rip,animatic
soulular,soul,cellular
austemper,austenite,temper
zoodles,zucchini,noodles
skeptimistic,skeptical,optimistic
wedcast,wedding,webcast
Boraga,bore,Moraga
Raincouver,rain,Vancouver
Berserkeley,berserk,Berkeley
electrochemogene,electrochemotherapy,gene
Babyflot,baby,Aeroflot
boutfit,bout,outfit
shootie,shoe,bootie
apartelle,apartment,hotel
dolime,dolomite,lime
iodozone,iodine,ozone
flexagon,flex,hexagon
Westralia,western,Australia
deathrocker,deathrock,rocker
fatshionista,fat,fashionista
brodown,bro,hoedown
tenoroon,tenor,bassoon
propheteering,prophet,profiteering
Olyroos,Olympic,kangaroos
Demoncrat,demon,Democrat
cattelo,cattle,buffalo
gaystream,gay,mainstream
wannarexia,wannabe,anorexia
anaphylatoxin,anaphylaxis,toxin
alphacoronaviral,alphacoronavirus,viral
husman,husband,man
khakistocracy,khaki,kakistocracy
freemail,free,email
gizmotronics,gizmo,electronics
airdraulic,air,hydraulic
Intertubes,Internet,tubes
